text	label
People around the world stood aghast at the apocalyptic destruction wreaked on Japan during a few hellish minutes when the United States dropped the nuclear bombs Little Boy and Fat Man on the cities of Hiroshima and Nagasaki .	1
Pennsylvania officials issued a statement on July 15 saying that for any abortions performed because of reasons other than rape , incest or a threat to the mother 's life , women ' will have to pay for them out their own pocket . '	0
Their jobs are protected not by any record of great teaching but simply by seniority.	1
If he wanted humans interfering in the creation of humans he would ask for it .	1
The duPont Company and others are developing genetically-altered corn and other feeds that will result in less phosphorus in chicken litter.	1
Innovation That Can Change the World Cloning is innovation that is extremely powerful and has the ability to bring about huge change .	1
Pew Poll Reveals Declining Support for the Death Penalty A recent Pew Research Center poll revealed a significant decline in support for the death penalty as 64 % of respondents supported the punishment compared to 78 % in 1996 .	1
In an argumentative writing against school uniforms , be sure to speak about the thoughts of parents of those pupils .	1
The sin of hubris - Icarus trying to be like God and flying too high - there has always been literature about the need to accept human limitations .	1
A higher minimum wage might also decrease turnover and thus keep training costs down , supporters say .	1
The result : 47 percent said it would , 11 percent said it would n't and 35 percent were either uncertain or had no opinion .	0
Benefits To The Environment It is no secret that the ecosystem has been in disarray for quite some time .	0
Most parents and teachers can do and have tried almost everything to improve on the punctuality of students .	0
You expressly agree that any use of the Material is entirely at your own risk .	0
Steve Paulson recently sat down with Savulescu to talk some of these hot-button issues , from eugenics to human cloning .	0
To adjust for increased rates of worker productivity in the United States , raising the minimum wage to $ 22 ( or more ) an hour has been presented .	1
In celebration of Salon ’s 20th anniversary , we ’re presenting some of our favorite and most popular stories from our archives .	0
One brief mistake can take away a woman 's childhood and trap her for life .	1
I refuse to go through the pain of carrying a rapist 's unwanted child , go through the pain of labor and birth and then give the child away only to have it find me some number of years later to learn I hated it .	1
These findings raise serious questions about whether defendants are being judged by “ a jury of their peers . ”	1
Watch the video below to see what was said .	0
Get access to 27 techniques that will change your Student Life .	0
They know , the AGW crowd knows , the administration knows and have known for YEARS that the 97 % number was BS and yet Obama used it in the last month several times .	0
If students can choose their own clothes , then the rich kids compete to show off their expensive designer labels and costly sneakers ( trainers ) .	1
For starters , I had never considered the diversity of minimum wage earners — this swath of the workforce is made up of teenagers working first jobs , older workers supplementing their income and , yes , people who are truly struggling to make ends meet .	1
The myth about Thorium LFTR should be destroyed , and a sensible pragmatic approach taken via renewables ; they do not generate any form of radioactive waste !	1
Today, after a lot of tough decisions and strong leadership from many people in this chamber, we've come a long way: Together we've turned a $3.6 billion deficit into a $500 million surplus; We've cut our total long-term debt by more than 11 and a half billion dollars, the equivalent of $3,200 for each and every man, woman, and child in Connecticut; And we've already put more than $270 million into our rainy day fund.	1
One example of such a determined individual is admitted cop killer , Jamie Hood , who was recently convicted of the murder of Athens , Georgia Police officer Buddy Christian .	0
Ten Democratic lawmakers offered early endorsements of the recreational marijuana question in June , but Sen. Harry Reid said last month that he was “ dubious ” about the measure .	0
But is it rich ?	0
In some states , the prisoner is showered and shaved .	0
 And I do n't believe I have a right to terminate someone else 's life either way — by abortion or capital punishment . 	1
Despite years of intense academic and public debate , there is little clarity as to the philosophical foundations for many of the emerging policy choices .	0
Maybe there 's something to them .	0
The electrode apparently burst from the strap holding it in place .	1
This is the one place , the one remnant of racism in our country is in the court system , enforcing the drug laws and enforcing the death penalty ... If you 're rich , you usually do n't meet the death penalty ... I do n't think it 's very good sign for civilization to still be invoking the death penalty .	1
The conflict of interest when double-dipping government workers simultaneously sit on city or county councils, interrogating their own supervisors and deciding their own salaries, must end.	1
A 2010 TIME article dubbed it “ the myth that will not die . ”	0
Beyond the statistical evidence , the idea that women require powerful firearms to be safe is just not logical .	1
For example , actual “ assault-weapons ” are already largely banned , but control advocates rail against semi-automatic military-style weapons ( these are not actual assault weapons , they just look like them ) despite the fact that long guns of all types are used in an insignificant amount of crime ( less than 1 % of total gun crime ) and that those military-style weapons are generally less lethal than most hunting rifles ( they use smaller-caliber bullets designed to wound on the battlefield rather than the larger , more powerful bullets designed to kill much larger animals ) .	1
 As the courts have yet to decide if a public school district can make students wear uniforms , some sort of opt-out policy is definitely desirable . 	0
The success rate of genetic experiments leaves a lot to be desired , after all .	1
The measure was signed by the President on November 5 , 2003 ... The term ' partial-birth abortion ' refers to a method of abortion commonly called ' dilation and extraction ' or 'D & X ' by the medical community .	0
Tomasz Latos , a member of the governing Law and Justice party and head of the Health Committee in the Polish Sejm , or lower house of Parliament , said viewing the legislation as a threat to prenatal diagnostics was “ either an act of ill will or incompetence . ”	0
Dolly was a famous symbol of both the great possibilities of science and a focal point for public concerns about the social impact of biotechnology .	0
As any freshman physics student knows , their only distinguishing feature is either their frequency ( or wavelength , in the case of photons ) or their kinetic energy ( which diminishes as they travel through air , skin , or other media , in the case of particles ) and not their source .	0
Turnover slows down , since people are happier with their paychecks , and the unemployed snap up jobs elsewhere in town .	1
He hails from Auckland , New Zealand , where he received his Masters in American history , a fact that continues to puzzle everyone who meets him .	0
Or to send him to prison for the rest of his life ?	0
"A uniform list for Scorton Grammar School , in Preston , dating from the 1960s , now held by the British Schools Museum , has a list of requirements for pupils that include a cap , blazer and tie , a "" reindeer green belted mackintosh "" and dark grey flannel trousers - or shorts "" until he has reached at least his 15th birthday "" ."	0
I want to take a look at what we're talking about in 2014. or 2018, I'm sorry, as we look forward, so long we have had issues that have been ignored, and I want to put a graphic up here that will be perhaps a little bit of an amusement to some but speaks to the truth of about we're about to discuss.	0
In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .	1
However , if a virus is used as a reprogramming factor , it may activate oncogenes , which are cancer-causing genes .	1
Did you know that , although they appear normal , most clones have congenital defects such as premature aging ?	1
The vaccine approval process has also been contaminated by flawed or incomplete clinical trials , and government officials have chosen to ignore negative results .	0
The virus that is going to kill the USA .	0
Indeed , the industry itself has created fear of nuclear power by pointing out that radioactivity can be dangerous .	1
And the constitutional law professor in President Obama is fully equipped to explain why the GOP ’s hysteria around gun regulations should be dismissed as the ranting of ideologues rather than as the positions of reasonable people .	1
Nuclear plants are too expensive .	1
But you never know what that baby could have been in life because you never gave it a chance .	1
So let’s start by affirming once again that our call for major change in our system of education, like that of President Obama, his education secretary and so many others, is rooted in a love for our schools, those who run them and those who teach in them.	1
"This is the case in the "" hot car death "" in Cobb County , Georgia , involving Justin Ross Harris , who is accused of murdering his young son by leaving him strapped in a car seat to bake to death ."	0
"In addition , a 2013 peer-reviewed study in Applied Economic Letters , found that between 1980 and 2009 , "" states with more restrictive CCW [ carrying concealed weapons ] laws had gun-related murder rates that were 10 % higher . """	1
Properly defined , feminism is a philosophy that embraces basic rights for all human beings without exception — without regard to race , religion , sex , size , age , location , disability or parentage .	0
It incorporates the elected government , the military , the police , the legal system , state bureaucracies for regulating the economy and providing welfare services , and many other functions .	0
Other countries have also had a difficult time making registration work .	1
 The economics are just not there . 	1
Under the measure , the age to legally consume marijuana in California would be 21 , but it would be naïve to assume that easier availability would not have a trickle-down impact and that the drug would find its way to those under legal age .	1
You thought you did n't want to touch it .	0
"In "" The War on Guns "" , John Lott has given us the best "" gun book "" I 've ever read ."	0
Look at the record of governments throughout history — so often operating with deception , cruelty and greed , so often becoming masters of the citizens they are supposed to serve .	0
For instance , Kerry Lynn Macintosh labels as the “ artifact fallacy ” the idea that “ animals ( or , potentially , humans ) born through cloning are necessarily the flawed products of a technological process and can never be functional members of their species . ”	1
Writing for four Justices in Gonzales v. Carhart , 18 Justice Ginsburg insisted that “ legal challenges to un­due restrictions on abortion procedures do not seek to vindicate some gen­eralized notion of privacy ; rather , they center on a woman ’s autonomy to determine her life ’s course , and thus to enjoy equal citizenship stature . ”	1
Also uniforms prevent a perfectly innocent hobby/interest .	1
While the Supreme Court has said repeatedly that those students do not shed their First Amendment rights when they enter the school , it has said that authorities may sometimes impose some forms of conformity in order to help in achieving the schools ’ teaching and civic education missions .	0
Then you either equivicate , refuse to qualify your use of the label , or deny you assigned the label at all .	0
Nor shall I surrender my rights because of your misguided means of creating an enslaved a peaceful society .	1
Advocating for laws to protect one group while disregarding the rights of another is discrimination .	1
Not that they would even want to .	0
Currently the American federal minimum wage rests at seven dollars , twenty-five cents ( $ 7.25 ) per hour .	0
CARSON : I would not raise it .	1
What a case of projection that is .	0
A June 2014 survey found that more than 3 out of 5 small business owners support increasing the minimum wage to $ 10.10 / hour , saying they believe that a higher minimum wage would increase consumer purchasing power ( 58 % ) , help the economy ( 56 % ) , and benefit their businesses via lower employee turnover , increased productivity , and customer satisfaction ( 53 % ) .	1
If you are honest , you would know and admit to the same thing in yourself .	0
Jan. 22 , 1985 ) , would only have a marginal effect .	0
"But a handful of little-known "" Social Security secrets "" could ensure a boost in your retirement income of as much as $ 60,000 ."	0
Average US electric consumption is about 0.45 TW .	0
Teenagers have forgotten how to say “ no . ”	0
Fossil fuels , not nuclear , are the real enemies of renewables .	1
NuScale ’s concept reactors would use a safer , self-contained design with fewer moving parts than standard nuclear plants — for instance , it uses natural convection for reactor cooling , obviating the kind of coolant pump damage that doomed Fukushima .	1
Many school districts that have implemented school uniforms have provided some sort of financial assistance for families that can not afford the extra expense .	1
Education Is The Answer More harsh gun control laws are not needed .	1
Eliminating just a portion of these expenses pays for increased minimum wages . ”	1
The Canadians have registered handguns since the 1930s .	1
Gilchrist ’s argument would be convincing but for one thing : the firearm crime rate in Ohio remained steady after the concealed-carry law passed in 2004 .	1
Some parents and children will have religious objections to uniforms .	1
He told the Washington Post last month that the minimum wage was “ a reminder to suburban independent voters that House Republicans are extreme , and out of touch . ”	1
Is human cloning compromises human dignity ?	0
“ Concerning ‘ nonviolence ’ – it is criminal to teach people not to defend themselves , when they are the victims of constant brutal attacks . ”	1
She likes it so much though most of the time she does it for free .	0
And yet , these things are constantly present in the modern world as they have been historically , because they account for circumstances that validate an act that may be morally wrong .	0
Furthermore , we believe that the state should not give itself the right to kill human beings – especially when it kills with premeditation and ceremony , in the name of the law or in the name of its people , and when it does so in an arbitrary and discriminatory fashion .	1
I know several cases , men ( children , really ) who are convicted of 1st degree murder and sentenced to die ( see the felony murder rule ) even though they neither killed anyone nor had an intention to kill .	1
All other counties are in white .	0
God hates abortion even more than He hates fags .	1
I believe it is a personal decision that should be left to the women and their doctors , he said .	1
He has co-sponsored a bill that would prohibit states from placing restrictions on abortion .	1
Some believe that marijuana legalization could be a windfall in the form of new taxes applied to its distribution and sale .	1
For 2007 , the average murder rate in states with the death penalty was 5.5 ; the average murder rate of the 14 states without the death penalty was 3.1 .	1
Should patients be allowed to grow their own plants ?	0
Clearly , if children are produced through cloning , they should be treated in accordance with the human rights and human dignity they share with all other human beings .	0
In the case of a stranger who will die unless I donate blood or bone marrow , I am not obligated to help him , because I was not involved in how he became ill .	0
1one ) , actual cost to the customer with an increase in minimum wage is remarkably negligible .	1
Sparks and flames erupted … from the electrode tied to Mr. Evans ' left leg .	0
DNA cloning has been used in genetic engineering to create plants that offer better nutritional value .	1
Life in prison just means the criminal is still around to haunt the victim .	1
What orifice did you pull this 33 % figure out of ?	0
Yes , Mr. Doron is right that our aging nuclear plants have to be shut down , but he is wrong to suggest that we can afford to build new ones or that solar energy is not ready to take over .	1
Prosecutors have enormous discretion about when to seek the death penalty and when to settle for a plea bargain .	1
This is another very important issue as it would seem hardly reasonable to punish people who are genuinely mentally ill but more reasonable to use effective punishment against those who are intentionally evil .	0
Anything above that amount — which would be easily exceeded by any major accident — is covered by the federal government ’s coffers ; i.e. , us .	0
Someone who is used to looking like the others will have no drive to express his personality .	1
When they are not maintained , have structural flaws or were improperly installed , a nuclear reactor could release harmful amounts of radiation into the environment during the process of regular use .	1
But , Because it is not about the number .	0
[ Footnote 9 ] The NRC concluded that the risk of an accident had not changed significantly since the EIS for TMI-1 was prepared in 1972 .	1
SYG did not feature in that trial but gun grabbers will stop at nothing .	0
In this , his latest and most important book , The War on Guns , Lott offers the most thorough debunking yet of the so-called “ facts , ” “ data , ” and “ arguments ” of anti-gun advocates , exposing how they have repeatedly twisted or ignored the real evidence , the evidence that of course refutes them on every point .	1
You 're not sure there is a person there , but you 're not sure there is n't either , and it just so happens that there is a person there , and you kill him .	1
Get top stories and blog posts emailed to me each day .	0
In the worst of our districts, half of them will not be graduating.	1
Categorically false ; the death penalty is actually far more expensive to administer than life imprisonment .	1
The conventional wisdom about Geduldig , however , is incorrect .	0
Uniformity in itself is nothing to be proud about .	1
Solicitor General Don Verrilli will probably not get adequate credit for giving a nearly flawless 10-minute argument Wednesday morning on behalf of the Obama administration .	0
Less than fifty executions out of 18,000 murders is n't going to accomplish much !	1
The president stopped short of allowing federal funding for research using stem cells derived from frozen embryos , about 100,000 of which exist at fertility labs across the country , many awaiting destruction .	0
( J. Melton ) Given that women have been ending ill-timed pregnancies for millennia , the Bible is remarkably quiet about abortion , with a few vague references that together can be interpreted in either direction .	0
They know nothing about any reactor technology except our pressurized water reactors and say that they are too busy to take time to study nuclear power technology .	0
This follows if we only add the minor premise that an apple is another thing .	0
My only stopping options are MD ( too close to home to need a stop ) , DE ( all 5 miles of it ) , NJ and NY ( too close to my destination to bother ) .	0
In the December poll when respondents were given a choice , only 42 % supported capital punishment while 46 % supported life without parole .	1
… First, and for the first time in our history, let's commit Connecticut to achieving universal pre-kindergarten.	1
– Bill Clinton served as the 42nd President of the United States from Jan. 20 , 1993 to Jan. 19 , 2001 .	0
Defile not therefore the land which ye shall inhabit , wherein I dwell : for I the LORD dwell among the children of Israel .	0
I want to show you another slide here that will speak to the heart of what we're talking about.	0
Lawrence Nelson , associate professor of philosophy at UCS , said that embryos can be used for research if : - the purpose of research can not be achieved by other methods ; - the embryos have reached more than 14-18 days of development ; - those who use forbid you to consider or treat as personal property .	1
Beethoven ’s mother was in ill health and the family was poor .	0
And that suggests that we may not be as comfortable with executions as we think .	1
When one have an abortion , they are n’t thinking “ Oh my god , I hate this baby inside of me .	1
In making her argument against concealed-carry weapons to me , Levy painted a bit of a contradictory picture : On the one hand , campuses are the safest places in the country .	1
The hippies and hardliners created a powerful alliance for legalisation .	0
The truth is that in a chaotic situation , even highly trained police officers often kill bystanders .	1
What if it were your child who was condemned to die , yet who had not killed anyone himself ?	1
Furthermore , as the philosopher Hans Jonas noted in a critique of cloning , the argument in favor of cloning excellent individuals , “ though naïve , is not frivolous in that it enlists our reverence for greatness and pays tribute to it by wishing that more Mozarts , Einsteins , and Schweitzers might adorn the human race . ”	1
Of course this process kills the embryo .	1
All students are trying to find their identity and discover who they will become .	0
Perversely , however , the U.S. Environmental Protection Agency and most states have declined to consider rewarding the same benefits from existing nuclear power plants .	0
19 Because of the invalidations rest on a wide variety of grounds , not single doctrinal shift , or even a small number of shifts , is likely to result in a lower reversal rate .	0
Maybe I ’m off base here , but that just seems like common sense to me .	0
We ’re proud to be a part of the CBS Miami family !	0
When you are planning a research project , ethics must always be considered .	0
 I personally feel proud walking around in my uniform , despite what people might say . 	1
But the vast majority of the company produces good work .	0
Would n't you agree that a mother who drinks enough to cause a baby to be born with fetal alcohol syndrome has harmed that baby ?	1
36 In the sense of specific deterrence or incapacitation , of course , the forty-three who were put to death indeed have been deterred .	1
Keller replies that this is n’t in the record .	0
One way to encourage participation but avoid the creation of a new elite of planners would be to choose community-level coordinators by lot .	0
The 2nd Amendment is to protect American citizens FROM the military and police .	1
Rendering parts of our planet permanently uninhabitable is more than a “ thorny ” problem .	1
And like every state in the country, we faced a looming deficit.	1
Unfortunately when it comes to firearms there are too many assertions floating around in public forums disguised as facts , and as such these serve no useful purpose if the goal is sensible and effective consensus on ways forward as a community .	0
It seems quite likely that the current Catholic unease with the DP may owe a good deal to considerations which are more humanitarian than Christian .	0
On one side of the debate , you mostly have traditionalists who believe that increasing the minimum wage kills some jobs for unskilled workers , like teens , but is n't destructive enough to raise the overall unemployment rate .	0
The right to bear arms is ALREADY “ infringed ” for many , and for very good reason .	1
No region is immune t. .	0
Abortion is permitted in only three cases : a severe fetal anomaly , a threat to the mother ’s health and life , or a pregnancy from rape or sexual abuse .	1
Hundreds of systems monitor , control , and support the safe operation of the reactor at each power plant .	1
That said , there seems to be more support rather than criticism for raising the federal minimum wage .	1
Make owning a gun subject to significant risk of criminal liability such that few new people want to own one and the ones who continue to own them are criminals and can be slowly rounded up , convicted and then completely unable to legally own a firearm .	1
It 's encouraging that we now recognize the system is flawed .	1
maximuslayer says2014-05-29T18 :54:18.177 Report Post Weed is a great way to relieve stress , and what little damage it does is nothing to the thousands of people who die of cigarettes .	1
The movie also features Sister Helen Prejean , an author and spiritual advisor to those condemned to die , and Donald Cabana , a former death row warden in Mississippi .	0
In the United States , statutory minimum wages were first introduced nationally in 1938 , and they were reintroduced and expanded in the United Kingdom in 1998 .	0
“ Indecent , obscene , or lewd ” messages include ones that are sexually explicit , have nudity , or use profane and offense words .	0
Each year , 1.4 million women who work give birth without any paid leave from their employer .	0
It is only through the support of the substantial resources of the federal government that researchers will be able to translate the enormous promise of stem cell research into treatments and cures for millions of Americans suffering from devastating diseases .	1
Since 1900 , in this country , there have been on the average more than four cases each year in which an entirely innocent person was convicted of murder .	1
So , it is often used to deal with side effects of chemotherapy .	1
That concept has seemingly lost favor over the years , and this year , only 7 % say deterrence is their top reason for supporting the death penalty .	1
But for people seeking to give their child the best chance at having exceptional intelligence , cloning may at least seem to offer more control and predictability than gene modification , and cloning is more consistent with our limited understanding of the science of genetics .	1
Because marijuana has no “ currently accepted medical use in treatment in the United States , ” it is a Schedule I drug that can not be bought , sold , possessed , or used without violating federal law .	1
What ’s even more amazing is that , while 61 % of Republicans believe that background checks will cause confiscation of some guns , 88 % OF REPUBLICANS STILL SUPPORT THEM .	0
It needs to make a lot of headway in the unfortunately highly polarized political atmosphere of developed nations .	0
Some cloning already exists , and more is likely to as science continues to develop this technology .	1
“ He was executed by the Romans and his last words were ‘ forgive them because they do n’t realize what they ’re doing .	0
"Etheredge says he told Gray that in veterinary medicine , they used a single barbiturate , and that , "" we overdosed it and everything went smoothly ."	0
As Congress has found , the practice is widely regarded within the medical profession as unnecessary , not only cruel to the child , but harmful to the mother , and a violation of medical ethics .	1
Happier employees are also less likely to quit , which reduces turnover and training costs .	1
